Time(s),Total Energy(J)
8100000.0,-6.065218618970329e+33
8200000.0,-6.065217192738058e+33
8300000.0,-6.06521548799607e+33
8400000.0,-6.065213514866651e+33
8500000.0,-6.065211285041717e+33
8600000.0,-6.065208811804302e+33
8700000.0,-6.065206110045353e+33
8800000.0,-6.065203196273158e+33
8900000.0,-6.065200088612801e+33
9000000.0,-6.06519680679279e+33
9100000.0,-6.065193372115897e+33
9200000.0,-6.065189807411441e+33
9300000.0,-6.065186136966001e+33
9400000.0,-6.065182386430057e+33
9500000.0,-6.065178582698131e+33
9600000.0,-6.06517475376068e+33
9700000.0,-6.065170928526388e+33
9800000.0,-6.065167136614507e+33
9900000.0,-6.065163408117759e+33
10000000.0,-6.065159773337254e+33
10100000.0,-6.065156262491971e+33
10200000.0,-6.065152905406239e+33
10300000.0,-6.065149731179618e+33
10400000.0,-6.06514676784445e+33
10500000.0,-6.065144042017419e+33
10600000.0,-6.065141578552055e+33
10700000.0,-6.065139400199957e+33
10800000.0,-6.06513752728885e+33
10900000.0,-6.065135977425636e+33
11000000.0,-6.065134765232274e+33
11100000.0,-6.065133902121914e+33
11200000.0,-6.065133396121521e+33
11300000.0,-6.065133251746217e+33
11400000.0,-6.065133469929225e+33
11500000.0,-6.065134048009329e+33
11600000.0,-6.065134979776373e+33
11700000.0,-6.065136255573071e+33
11800000.0,-6.065137862449607e+33
11900000.0,-6.06513978436587e+33
12000000.0,-6.06514200243503e+33
12100000.0,-6.065144495202273e+33
12200000.0,-6.065147238952207e+33
12300000.0,-6.065150208039101e+33
12400000.0,-6.065153375232538e+33
12500000.0,-6.065156712070386e+33
12600000.0,-6.065160189209744e+33
12700000.0,-6.065163776767548e+33
12800000.0,-6.065167444643856e+33
12900000.0,-6.06517116282306e+33
13000000.0,-6.065174901649624e+33
13100000.0,-6.065178632076232e+33
13200000.0,-6.065182325883018e+33
13300000.0,-6.065185955867234e+33
13400000.0,-6.065189496003561e+33
13500000.0,-6.065192921575834e+33
13600000.0,-6.065196209281743e+33
13700000.0,-6.065199337312398e+33
13800000.0,-6.065202285409281e+33
13900000.0,-6.065205034901298e+33
14000000.0,-6.065207568724637e+33
14100000.0,-6.065209871428583e+33
14200000.0,-6.065211929169917e+33
14300000.0,-6.065213729698929e+33
14400000.0,-6.065215262339407e+33
14500000.0,-6.065216517965248e+33
14600000.0,-6.065217488975594e+33
14700000.0,-6.065218169270628e+33
14800000.0,-6.065218554229526e+33
14900000.0,-6.065218640691814e+33
15000000.0,-6.065218426943322e+33
15100000.0,-6.065217912707425e+33
15200000.0,-6.065217099141835e+33
15300000.0,-6.065215988841416e+33
15400000.0,-6.065214585846494e+33
15500000.0,-6.065212895656473e+33
15600000.0,-6.065210925247868e+33
15700000.0,-6.065208683095788e+33
15800000.0,-6.065206179197395e+33
15900000.0,-6.065203425095837e+33
16000000.0,-6.065200433902697e+33
16100000.0,-6.065197220316732e+33
16200000.0,-6.065193800636555e+33
16300000.0,-6.065190192764615e+33
16400000.0,-6.065186416199657e+33
16500000.0,-6.065182492014846e+33
16600000.0,-6.065178442818605e+33
16700000.0,-6.065174292695292e+33
16800000.0,-6.065170067123027e+33
16900000.0,-6.065165792866282e+33
17000000.0,-6.065161497841095e+33
17100000.0,-6.065157210951571e+33
17200000.0,-6.065152961896628e+33
17300000.0,-6.065148780947056e+33
17400000.0,-6.065144698693738e+33
17500000.0,-6.06514074576869e+33
17600000.0,-6.065136952542108e+33
17700000.0,-6.0651333487991e+33
17800000.0,-6.065129963401215e+33
17900000.0,-6.065126823938904e+33
18000000.0,-6.065123956381543e+33
18100000.0,-6.065121384732754e+33
18200000.0,-6.065119130698844e+33
18300000.0,-6.065117213378622e+33
18400000.0,-6.065115648982488e+33
18500000.0,-6.065114450588483e+33
18600000.0,-6.065113627941992e+33
18700000.0,-6.065113187304786e+33
18800000.0,-6.065113131357925e+33
18900000.0,-6.065113459161238e+33
19000000.0,-6.065114166170569e+33
19100000.0,-6.065115244312266e+33
19200000.0,-6.065116682112513e+33
19300000.0,-6.065118464877812e+33
19400000.0,-6.06512057492126e+33
19500000.0,-6.065122991828527e+33
19600000.0,-6.06512569275628e+33
19700000.0,-6.065128652755497e+33
19800000.0,-6.0651318451117e+33
19900000.0,-6.065135241693871e+33
20000000.0,-6.065138813304375e+33
20100000.0,-6.065142530022293e+33
20200000.0,-6.06514636153381e+33
20300000.0,-6.065150277444035e+33
20400000.0,-6.065154247565898e+33
20500000.0,-6.065158242182827e+33
20600000.0,-6.065162232283087e+33
20700000.0,-6.065166189764569e+33
20800000.0,-6.065170087609816e+33
20900000.0,-6.065173900031805e+33
21000000.0,-6.06517760259184e+33
21100000.0,-6.065181172291303e+33
21200000.0,-6.065184587639566e+33
21300000.0,-6.06518782870071e+33
21400000.0,-6.0651908771218e+33
21500000.0,-6.065193716145621e+33
21600000.0,-6.065196330610846e+33
21700000.0,-6.065198706942361e+33
21800000.0,-6.065200833134525e+33
21900000.0,-6.065202698729827e+33
22000000.0,-6.065204294795223e+33
22100000.0,-6.065205613898158e+33
22200000.0,-6.065206650084087e+33
22300000.0,-6.065207398856813e+33
22400000.0,-6.065207857163037e+33
22500000.0,-6.065208023381693e+33
22600000.0,-6.065207897318965e+33
22700000.0,-6.065207480209017e+33
22800000.0,-6.065206774720482e+33
22900000.0,-6.065205784968526e+33
23000000.0,-6.065204516531582e+33
23100000.0,-6.065202976472161e+33
23200000.0,-6.065201173360364e+33
23300000.0,-6.065199117298623e+33
23400000.0,-6.065196819946095e+33
23500000.0,-6.065194294540499e+33
23600000.0,-6.065191555915411e+33
23700000.0,-6.065188620510273e+33
23800000.0,-6.065185506370377e+33
23900000.0,-6.065182233133585e+33
24000000.0,-6.065178822000209e+33
24100000.0,-6.065175295682695e+33
24200000.0,-6.065171678332075e+33
24300000.0,-6.065167995439421e+33
24400000.0,-6.065164273711679e+33
24500000.0,-6.065160540921524e+33
24600000.0,-6.065156825730623e+33
24700000.0,-6.065153157485126e+33
24800000.0,-6.065149565982106e+33
24900000.0,-6.065146081207014e+33
25000000.0,-6.065142733043899e+33
25100000.0,-6.065139550962211e+33
25200000.0,-6.065136563685226e+33
25300000.0,-6.065133798846167e+33
25400000.0,-6.06513128263886e+33
25500000.0,-6.065129039470151e+33
25600000.0,-6.065127091621891e+33
25700000.0,-6.065125458930563e+33
25800000.0,-6.065124158492353e+33
25900000.0,-6.065123204401722e+33
26000000.0,-6.065122607530301e+33
26100000.0,-6.065122375352546e+33
26200000.0,-6.065122511823125e+33
26300000.0,-6.065123017309627e+33
26400000.0,-6.065123888582621e+33
26500000.0,-6.06512511886331e+33
26600000.0,-6.065126697927531e+33
26700000.0,-6.065128612262816e+33
26800000.0,-6.065130845274231e+33
26900000.0,-6.065133377532835e+33
27000000.0,-6.065136187060238e+33
27100000.0,-6.065139249641334e+33
27200000.0,-6.065142539157351e+33
27300000.0,-6.065146027931093e+33
27400000.0,-6.06514968707636e+33
27500000.0,-6.065153486844211e+33
27600000.0,-6.065157396959299e+33
27700000.0,-6.06516138694024e+33
27800000.0,-6.065165426399432e+33
27900000.0,-6.065169485318192e+33
28000000.0,-6.065173534294636e+33
28100000.0,-6.0651775447626e+33
28200000.0,-6.065181489180799e+33
28300000.0,-6.06518534119244e+33
28400000.0,-6.065189075756277e+33
28500000.0,-6.065192669250562e+33
28600000.0,-6.065196099552108e+33
28700000.0,-6.065199346092745e+33
28800000.0,-6.065202389895993e+33
28900000.0,-6.065205213596627e+33
29000000.0,-6.065207801446082e+33
29100000.0,-6.065210139306484e+33
29200000.0,-6.065212214636211e+33
29300000.0,-6.065214016469586e+33
29400000.0,-6.065215535393397e+33
29500000.0,-6.06521676352247e+33
29600000.0,-6.065217694476117e+33
29700000.0,-6.065218323357214e+33
29800000.0,-6.065218646734792e+33
29900000.0,-6.065218662631292e+33
30000000.0,-6.065218370514769e+33
30100000.0,-6.065217771296707e+33
30200000.0,-6.065216867335409e+33
30300000.0,-6.0652156624449e+33
30400000.0,-6.065214161908999e+33
30500000.0,-6.065212372499664e+33
30600000.0,-6.065210302498844e+33
30700000.0,-6.065207961722189e+33
30800000.0,-6.065205361543231e+33
30900000.0,-6.06520251491592e+33
31000000.0,-6.06519943639347e+33
31100000.0,-6.065196142140965e+33
31200000.0,-6.065192649939178e+33
31300000.0,-6.065188979176766e+33
31400000.0,-6.065185150828017e+33
31500000.0,-6.065181187413125e+33
31600000.0,-6.065177112938311e+33
31700000.0,-6.065172952812896e+33
31800000.0,-6.065168733741085e+33
31900000.0,-6.06516448358639e+33
32000000.0,-6.065160231207156e+33
32100000.0,-6.065156006262479e+33
32200000.0,-6.065151838988376e+33
32300000.0,-6.065147759945216e+33
32400000.0,-6.065143799738111e+33
32500000.0,-6.065139988713425e+33
32600000.0,-6.065136356635107e+33
32700000.0,-6.065132932346195e+33
32800000.0,-6.065129743421367e+33
32900000.0,-6.065126815817412e+33
33000000.0,-6.065124173529233e+33
33100000.0,-6.065121838259336e+33
33200000.0,-6.065119829108876e+33
33300000.0,-6.065118162298357e+33
33400000.0,-6.065116850925364e+33
33500000.0,-6.065115904766206e+33
33600000.0,-6.065115330126942e+33
33700000.0,-6.065115129748331e+33
33800000.0,-6.065115302767357e+33
33900000.0,-6.065115844736423e+33
34000000.0,-6.065116747699779e+33
34100000.0,-6.06511800032485e+33
34200000.0,-6.065119588084511e+33
34300000.0,-6.065121493485206e+33
34400000.0,-6.065123696334411e+33
34500000.0,-6.065126174040173e+33
34600000.0,-6.065128901934813e+33
34700000.0,-6.065131853614706e+33
34800000.0,-6.06513500128815e+33
34900000.0,-6.065138316123439e+33
35000000.0,-6.065141768590207e+33
35100000.0,-6.065145328787638e+33
35200000.0,-6.065148966754197e+33
35300000.0,-6.065152652754618e+33
35400000.0,-6.065156357540915e+33
35500000.0,-6.065160052585258e+33
35600000.0,-6.065163710283703e+33
35700000.0,-6.06516730413031e+33
35800000.0,-6.065170808862161e+33
35900000.0,-6.065174200576028e+33
36000000.0,-6.065177456817994e+33
36100000.0,-6.065180556647799e+33
36200000.0,-6.0651834806809e+33
36300000.0,-6.065186211111913e+33
36400000.0,-6.065188731723917e+33
36500000.0,-6.065191027887733e+33
36600000.0,-6.065193086553806e+33
36700000.0,-6.065194896238454e+33
36800000.0,-6.065196447005324e+33
36900000.0,-6.065197730443339e+33
37000000.0,-6.065198739642924e+33
37100000.0,-6.065199469172751e+33
37200000.0,-6.065199915058786e+33
37300000.0,-6.065200074767516e+33
37400000.0,-6.065199947194206e+33
37500000.0,-6.065199532657042e+33
37600000.0,-6.065198832897206e+33
37700000.0,-6.065197851084905e+33
37800000.0,-6.065196591830948e+33
37900000.0,-6.065195061203165e+33
38000000.0,-6.065193266746801e+33
38100000.0,-6.065191217507564e+33
38200000.0,-6.065188924055934e+33
38300000.0,-6.065186398510901e+33
38400000.0,-6.06518365456097e+33
38500000.0,-6.065180707480277e+33
38600000.0,-6.065177574137077e+33
38700000.0,-6.0651742729919e+33
38800000.0,-6.06517082408247e+33
38900000.0,-6.065167248992363e+33
39000000.0,-6.065163570800718e+33
39100000.0,-6.065159814010103e+33
39200000.0,-6.065156004450398e+33
39300000.0,-6.065152169156507e+33
39400000.0,-6.065148336218218e+33
39500000.0,-6.065144534601153e+33
39600000.0,-6.065140793938084e+33
39700000.0,-6.065137144290873e+33
39800000.0,-6.065133615884432e+33
39900000.0,-6.065130238814779e+33
40000000.0,-6.065127042734969e+33
40100000.0,-6.065124056523268e+33
40200000.0,-6.065121307939337e+33
40300000.0,-6.065118823274997e+33
40400000.0,-6.065116627006742e+33
40500000.0,-6.065114741457921e+33
40600000.0,-6.065113186478627e+33
40700000.0,-6.065111979151418e+33
40800000.0,-6.065111133530636e+33
40900000.0,-6.065110660422415e+33
41000000.0,-6.065110567211739e+33
41100000.0,-6.065110857741365e+33
41200000.0,-6.065111532246253e+33
41300000.0,-6.065112587345577e+33
41400000.0,-6.065114016092258e+33
41500000.0,-6.065115808078882e+33
41600000.0,-6.065117949596692e+33
41700000.0,-6.06512042384312e+33
41800000.0,-6.065123211171985e+33
41900000.0,-6.06512628937936e+33
42000000.0,-6.065129634017617e+33
42100000.0,-6.065133218729424e+33
42200000.0,-6.065137015593771e+33
42300000.0,-6.065140995475913e+33
42400000.0,-6.065145128373958e+33
42500000.0,-6.065149383755238e+33
42600000.0,-6.065153730876729e+33
42700000.0,-6.065158139084553e+33
42800000.0,-6.0651625780888e+33
42900000.0,-6.065167018211031e+33
43000000.0,-6.065171430602647e+33
43100000.0,-6.065175787433541e+33
43200000.0,-6.065180062051184e+33
43300000.0,-6.065184229111059e+33
43400000.0,-6.06518826468016e+33
43500000.0,-6.065192146315468e+33
43600000.0,-6.065195853120053e+33
43700000.0,-6.065199365779447e+33
43800000.0,-6.065202666581249e+33
43900000.0,-6.065205739420586e+33
44000000.0,-6.065208569794817e+33
44100000.0,-6.065211144789706e+33
44200000.0,-6.065213453059969e+33
44300000.0,-6.06521548480655e+33
44400000.0,-6.065217231752585e+33
44500000.0,-6.065218687120146e+33
44600000.0,-6.065219845609234e+33
44700000.0,-6.065220703380316e+33
44800000.0,-6.06522125804146e+33
44900000.0,-6.06522150864079e+33
45000000.0,-6.06522145566459e+33
45100000.0,-6.065221101041277e+33
45200000.0,-6.065220448151004e+33
45300000.0,-6.065219501840405e+33
45400000.0,-6.065218268441717e+33
45500000.0,-6.065216755795235e+33
45600000.0,-6.065214973273691e+33
45700000.0,-6.065212931806917e+33
45800000.0,-6.065210643904821e+33
45900000.0,-6.065208123676603e+33
46000000.0,-6.065205386843575e+33
46100000.0,-6.065202450743187e+33
46200000.0,-6.065199334321263e+33
46300000.0,-6.065196058109631e+33
46400000.0,-6.065192644186348e+33
46500000.0,-6.065189116115425e+33
46600000.0,-6.065185498863572e+33
46700000.0,-6.065181818691465e+33
46800000.0,-6.065178103017533e+33
46900000.0,-6.065174380252793e+33
47000000.0,-6.065170679605971e+33
47100000.0,-6.065167030858853e+33
47200000.0,-6.065163464112787e+33
47300000.0,-6.065160009508353e+33
47400000.0,-6.065156696921035e+33
47500000.0,-6.065153555637118e+33
47600000.0,-6.065150614015042e+33
47700000.0,-6.065147899138175e+33
47800000.0,-6.065145436466214e+33
47900000.0,-6.065143249492328e+33
48000000.0,-6.065141359413904e+33
48100000.0,-6.065139784824099e+33
48200000.0,-6.065138541431662e+33
48300000.0,-6.065137641816404e+33
48400000.0,-6.065137095227973e+33
48500000.0,-6.065136907435223e+33
48600000.0,-6.065137080632274e+33
